alu_id,alu_nome_completo,alu_primeiro_nome,alu_ultimo_sobrenome,aluno_email
1,"João da Silva",joão,silva,joão.silva@facens.com
2,"Maria Pereira Almeida",maria,almeida,maria.almeida@facens.com
3,"Pedro Silva",pedro,silva,pedro.silva@facens.com
4,"Ana Carolina Sousa Pereira",ana,pereira,ana.pereira@facens.com
5,"Carlos Rodrigues Alves",carlos,alves,carlos.alves@facens.com
6,"Sofia Pereira Silva",sofia,silva,sofia.silva@facens.com
7,"João Pereira Silva",joão,silva,joão.silva1@facens.com
8,"Luís Rodrigues",luís,rodrigues,luís.rodrigues@facens.com
9,"Carolina Fernandes dos Santos",carolina,santos,carolina.santos@facens.com
10,"Rui Mendes Pereira",rui,pereira,rui.pereira@facens.com
11,"Marta Costa",marta,costa,marta.costa@facens.com
12,"Hugo Ferreira Gomes",hugo,gomes,hugo.gomes@facens.com
13,"Beatriz Gomes Almeida",beatriz,almeida,beatriz.almeida@facens.com
14,"Guilherme da Silva",guilherme,silva,guilherme.silva@facens.com
15,"Alice Rodrigues",alice,rodrigues,alice.rodrigues@facens.com
16,"Ana Ribeiro de Martins Pereira",ana,pereira,ana.pereira1@facens.com
